rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-024_T1w	2.63	2.357	2.707	1.884	3.481	2.943	2.518	2.95	2.277	2.436	2.879	2.193	2.38	2.949	2.668	2.529	2.86	2.912	2.586	1.673	2.099	2.398	2.644	2.467	2.773	2.39	2.821	2.25	2.931	2.784	2.673	3.561	2.558	3.27	2.59253	1255451.0	1663340.46462
sub-025_T1w	2.454	2.795	2.457	1.772	3.437	2.865	2.552	2.901	2.387	2.299	2.623	2.018	2.458	2.947	2.756	2.566	2.847	2.551	2.485	1.482	2.132	2.413	2.597	2.445	2.726	2.503	2.857	2.282	2.87	2.595	2.816	3.72	2.527	3.21	2.56053	985481.0	1272313.41432
sub-026_T1w	2.876	2.298	2.509	2.172	3.626	3.173	2.786	3.091	2.381	2.604	2.88	2.392	2.632	3.226	2.992	2.443	2.957	2.843	2.622	1.657	2.199	2.464	2.637	2.532	2.681	2.442	2.786	2.342	3.105	2.76	3.056	4.299	2.695	3.289	2.69139	1112801.0	1420887.66444
sub-027_T1w	2.648	2.552	2.522	1.869	3.796	2.988	2.704	2.8	2.333	2.371	2.621	2.218	2.563	3.025	2.861	2.67	2.528	2.562	2.321	1.599	2.166	2.491	2.789	2.544	3.044	2.265	2.792	2.327	2.795	2.615	2.35	3.281	2.317	3.09	2.57121	1024278.0	1357572.87978
sub-028_T1w	2.98	2.556	2.739	1.891	2.82	2.922	2.404	2.978	2.378	2.341	2.679	2.201	2.797	3.026	2.792	2.351	2.654	3.048	2.525	1.604	2.063	2.43	2.486	2.462	3.231	2.423	2.78	2.081	3.077	2.658	2.884	3.178	2.052	3.24	2.54841	1220275.0	1556979.30939
sub-029_T1w	3.074	2.476	2.527	2.021	3.171	2.796	2.678	2.851	2.497	2.375	2.642	2.145	2.496	3.234	2.961	2.297	2.629	3.101	2.549	1.74	2.156	2.375	2.585	2.486	2.759	2.396	2.759	2.214	3.113	2.694	2.244	3.251	2.744	3.113	2.58952	1179072.0	1424102.08776
sub-030_T1w	2.601	2.206	2.534	2.105	3.087	2.883	2.621	3.099	2.856	2.436	2.791	2.252	2.477	3.042	2.986	2.386	2.789	2.606	2.404	1.887	2.129	2.389	2.682	2.514	2.696	2.239	2.731	2.233	3.115	2.633	2.709	3.241	2.34	3.298	2.59506	1299968.0	1713723.85304
sub-031_T1w	3.306	2.799	2.728	1.926	3.583	2.974	2.834	2.882	2.468	2.426	2.928	2.055	2.688	3.17	2.835	2.583	2.728	2.856	2.867	1.662	2.178	2.794	2.645	2.545	2.779	2.497	2.823	2.366	3.029	2.719	3.084	3.928	2.706	3.092	2.6748	1104111.0	1377872.88351
sub-032_T1w	2.909	2.729	2.532	1.948	4.107	2.896	2.706	2.84	2.64	2.522	2.84	2.23	2.566	3.068	3.018	2.495	2.645	2.723	2.651	1.623	2.055	2.546	2.667	2.586	3.131	2.398	2.69	2.335	3.132	2.713	2.781	3.951	2.694	3.153	2.61631	1299686.0	1596877.1267
sub-033_T1w	2.576	2.615	2.581	1.967	3.629	2.971	2.539	2.857	2.727	2.384	2.629	2.057	2.39	2.861	3.016	2.561	2.59	2.649	2.396	1.663	2.178	2.564	2.623	2.53	3.079	2.368	2.717	2.267	2.987	2.632	2.793	4.001	2.775	3.057	2.5759	1128572.0	1439369.25747
sub-034_T1w	2.711	2.365	2.671	1.975	3.44	2.844	2.651	3.098	2.51	2.42	2.889	2.104	2.579	3.067	2.651	2.498	2.637	2.832	2.678	1.442	2.274	2.563	2.757	2.514	2.736	2.501	2.919	2.448	3.226	2.683	3.023	3.83	2.448	3.357	2.6546	1229162.0	1525684.87981
sub-035_T1w	2.862	2.499	2.519	2.171	3.117	2.811	2.611	2.825	2.497	2.514	2.591	2.084	2.517	3.192	3.146	2.727	2.627	2.621	2.521	1.818	2.128	2.689	2.693	2.566	2.658	2.311	2.777	2.456	2.979	2.722	2.59	2.709	2.517	2.954	2.60375	1042844.0	1326650.75383
sub-036_T1w	2.827	2.181	2.477	2.117	2.897	2.784	2.807	2.909	2.656	2.477	2.75	2.232	2.503	3.073	2.68	2.472	2.828	2.515	2.333	1.804	2.07	2.475	2.41	2.649	2.825	2.403	2.728	2.315	3.187	2.642	2.489	2.527	2.69	3.018	2.5876	1529914.0	1795649.1415
sub-037_T1w	2.78	2.499	2.571	2.249	3.513	2.986	2.7	3.082	2.61	2.342	2.866	2.008	2.698	2.995	2.538	2.557	2.695	2.958	2.628	1.572	2.0	2.577	2.579	2.489	2.802	2.338	2.759	2.248	3.07	2.545	2.823	3.54	2.382	3.0	2.59733	1189779.0	1421913.56174
sub-038_T1w	2.87	2.538	2.577	1.766	3.496	2.998	2.531	2.813	2.81	2.372	2.808	1.988	2.531	2.988	2.927	2.667	2.69	2.909	2.661	1.534	2.094	2.903	2.686	2.457	2.944	2.371	2.946	2.149	3.046	2.576	3.152	3.824	2.324	3.202	2.58073	1011164.0	1293854.93251
sub-039_T1w	3.203	2.467	2.662	2.026	3.738	3.155	2.897	3.25	2.559	2.511	2.855	2.313	2.603	3.29	2.954	2.745	2.941	3.039	2.711	1.653	2.357	2.714	2.844	2.744	3.112	2.56	2.855	2.469	3.137	2.961	2.665	3.668	2.89	3.284	2.77231	1206333.0	1563635.10185
sub-040_T1w	2.558	2.42	2.406	2.076	3.69	2.918	2.635	2.95	2.481	2.372	2.616	2.248	2.522	2.943	2.851	2.303	2.8	2.725	2.491	1.837	1.993	2.525	2.487	2.52	2.628	2.327	2.555	2.258	2.996	2.577	2.517	3.706	2.629	3.258	2.52575	1299465.0	1682088.40236
sub-041_T1w	2.731	2.415	2.527	2.082	2.858	2.915	2.599	2.894	2.823	2.341	2.624	2.154	2.396	2.828	3.032	2.652	2.745	2.515	2.44	1.75	2.153	2.811	2.716	2.646	2.934	2.266	2.703	2.371	2.922	2.714	2.594	3.433	2.834	3.136	2.57314	1285697.0	1555693.65613
sub-042_T1w	3.007	2.76	2.707	1.96	2.767	3.103	2.677	3.172	2.724	2.536	2.89	2.298	2.623	3.248	2.81	2.577	2.835	2.883	2.66	1.462	2.333	2.53	2.789	2.452	3.012	2.499	2.779	2.323	3.278	2.894	2.583	3.112	2.716	3.242	2.6997	1341976.0	1654778.84701
sub-043_T1w	2.507	2.378	2.568	2.033	2.9	2.947	2.628	2.931	2.45	2.488	2.757	2.083	2.358	2.935	2.895	2.728	2.862	2.544	2.568	1.778	2.131	2.411	2.717	2.468	2.944	2.357	2.826	2.273	3.002	2.57	2.814	3.296	2.783	3.189	2.58256	1230476.0	1542545.43646
sub-044_T1w	2.613	2.298	2.453	2.162	3.014	2.937	2.582	3.009	2.428	2.478	2.73	2.132	2.755	2.783	2.935	2.484	2.627	2.997	2.634	1.658	2.139	2.378	2.609	2.501	2.785	2.481	2.74	2.254	2.936	2.541	2.575	3.781	2.538	3.334	2.58139	1268691.0	1499521.89492
sub-045_T1w	2.603	2.316	2.463	2.12	2.966	2.914	2.554	2.929	2.517	2.369	2.746	2.079	2.499	3.009	2.711	2.34	2.482	2.756	2.424	1.609	2.055	2.475	2.668	2.481	2.579	2.403	2.764	2.165	2.993	2.614	3.079	3.0	2.529	3.219	2.5502	1217367.0	1521688.29837
sub-046_T1w	3.003	2.22	2.682	1.887	3.844	3.054	2.781	3.067	2.232	2.593	2.981	2.167	2.727	3.242	3.011	2.772	2.934	2.976	2.634	1.655	2.277	2.623	2.754	2.632	2.917	2.56	2.906	2.314	3.237	2.92	2.622	4.091	2.851	3.134	2.72721	1543487.0	1855470.1602
sub-047_T1w	2.59	2.426	2.447	1.904	3.596	2.852	2.495	2.928	2.308	2.249	2.441	2.004	2.572	2.829	2.534	2.538	2.587	2.406	2.457	1.683	2.064	2.403	2.584	2.438	2.954	2.277	2.696	2.156	2.758	2.522	2.422	2.565	2.4	3.037	2.46871	1329977.0	1696912.74338
sub-048_T1w	2.766	2.604	2.595	2.062	3.282	3.023	2.597	2.945	2.549	2.472	2.67	2.213	2.43	3.038	2.793	2.475	2.808	2.877	2.694	1.807	2.125	2.444	2.535	2.606	3.067	2.477	2.714	2.342	3.111	2.716	3.087	3.762	2.503	3.327	2.62184	1262207.0	1624755.45263
sub-049_T1w	2.909	3.065	2.664	2.093	3.054	3.088	2.839	3.084	2.728	2.549	2.715	2.304	2.292	3.039	2.85	2.722	2.738	3.028	2.613	1.52	2.359	2.666	2.844	2.546	2.812	2.428	2.825	2.409	3.126	2.698	3.036	3.959	2.529	3.266	2.69758	1285222.0	1586941.43297
